Restaurant_ID,City,Cuisine_Type,Average_Meal_Price,Seating_Capacity,Years_in_Business,Google_Rating,Social_Media_Followers,Weekend_Reservations,Staff_Count,Delivery_Service,Marketing_Budget,Health_Inspection_Score,Annual_Revenue,Success_Label
R0001,Houston,Japanese,49,95,1,3.2,48576,202,33,Yes,3530,59,289190,0
R0002,San Francisco,Japanese,30,49,11,3.5,23749,246,46,No,9024,52,58888,1
R0003,Chicago,Japanese,24,40,16,3.2,42165,286,32,No,8607,85,1842602,1
R0004,San Francisco,Japanese,42,53,18,3.3,27225,236,22,Yes,17126,87,485413,1
R0005,San Francisco,Indian,44,60,16,3.2,34858,242,18,Yes,18768,74,1051830,1
R0006,Los Angeles,Indian,35,70,23,2.6,5696,49,22,No,15435,71,1320008,0
R0007,Chicago,American,17,101,10,4.1,16474,162,32,Yes,10124,97,411085,1
R0008,Chicago,Chinese,45,77,18,4.0,3875,136,28,No,16323,88,329477,0
R0009,Chicago,Italian,39,94,6,4.1,27488,246,12,Yes,8363,96,551616,1
R0010,San Francisco,Japanese,32,42,19,3.0,21129,64,46,Yes,3609,79,610643,0
R0011,Houston,American,23,147,4,3.2,18545,181,49,No,19070,70,280487,1
R0012,Chicago,Chinese,23,36,27,4.0,48574,118,12,Yes,12982,79,703974,1
R0013,San Francisco,Italian,11,88,13,4.0,14745,193,8,Yes,2050,77,517119,0
R0014,Los Angeles,Vegan,46,127,24,3.8,31205,207,31,No,1146,80,1033762,0
R0015,Houston,Mexican,14,113,14,3.4,13768,96,40,Yes,13907,75,1785081,1
R0016,Los Angeles,Indian,47,34,3,4.8,16060,210,9,Yes,13200,92,823890,1
R0017,Houston,Vegan,23,110,10,3.3,11457,284,37,Yes,1037,71,299434,0
R0018,San Francisco,Italian,48,52,6,3.6,37303,220,38,No,14666,70,939602,1
R0019,New York,Vegan,34,144,1,4.2,15904,127,34,No,7072,50,1436395,1
R0020,Houston,Mexican,29,35,23,3.9,14726,200,12,Yes,734,86,1279502,0
R0021,Los Angeles,American,11,85,24,3.4,28232,51,43,No,14567,62,641952,1
R0022,San Francisco,Italian,48,66,27,3.6,8051,51,30,No,10196,70,550638,0
R0023,Houston,Vegan,15,143,14,4.5,6549,285,41,Yes,14650,95,660441,1
R0024,New York,Indian,26,20,8,3.2,19165,26,38,Yes,18258,58,1716480,1
R0025,New York,Indian,34,106,19,2.9,36067,292,11,Yes,2409,66,1920293,0
R0026,Chicago,Chinese,37,147,14,3.3,39636,267,44,Yes,12650,96,1354925,1
R0027,Chicago,Vegan,11,86,10,4.6,9230,72,32,No,580,70,1509325,0
R0028,Los Angeles,Japanese,44,23,17,2.7,23924,71,43,No,2583,80,1000128,0
R0029,Houston,Vegan,46,66,9,5.0,41501,109,43,Yes,13878,88,621284,1
R0030,Houston,American,14,57,29,3.9,37093,28,32,Yes,15717,71,359091,1
R0031,Chicago,Italian,10,40,6,5.0,31975,26,18,Yes,18574,61,471172,1
R0032,Houston,Italian,49,76,11,4.8,49848,255,42,Yes,17640,55,1936038,1
R0033,Houston,American,21,136,25,3.6,6154,260,8,Yes,3170,65,501813,0
R0034,New York,Vegan,45,65,7,3.0,34373,90,46,Yes,4251,75,1927451,0
R0035,Chicago,American,32,58,17,2.9,41921,48,22,Yes,12244,54,702632,1
R0036,San Francisco,Mexican,40,118,28,3.1,48617,45,48,Yes,5761,58,279685,1
R0037,Chicago,American,20,96,28,4.3,10932,206,29,No,15191,95,377608,1
